0.0372314	0.0375455	0.0349583	0.0318049	0.0281371	0.0279707	0.0275539	0.0273987	0.0281337	0.0297446	0.0292582	0.0262246	0.0236715	0.0197162	0.0180517	0.0156925	0.0160694	0.0147007	0.0150195	0.0124588	0.0126665	0.0136652	0.0155233	0.015824	0.0195037	
0.0557333	0.0530863	0.0494694	0.0454838	0.0417741	0.0403741	0.038781	0.0378191	0.0377731	0.0384806	0.037072	0.0341989	0.0307981	0.0268659	0.0237935	0.0217713	0.0211649	0.0220257	0.0227962	0.0226071	0.0231073	0.0257133	0.0280813	0.0303355	0.0345643	
0.0646108	0.0632886	0.0596875	0.0562562	0.0529863	0.0503022	0.0464652	0.0446466	0.0430067	0.0433456	0.040525	0.0381898	0.0334764	0.0294649	0.0250482	0.0227482	0.0219219	0.0229534	0.0257192	0.0257128	0.0280062	0.0306088	0.0349087	0.0392513	0.0443383	
0.0676855	0.067614	0.0651527	0.0633314	0.0605796	0.0559989	0.0502959	0.0468681	0.0450441	0.0433021	0.0404047	0.0361777	0.0322175	0.0267462	0.023625	0.0200112	0.0193129	0.0197127	0.0229285	0.0243964	0.0265176	0.0307413	0.035539	0.0426089	0.0487767	
0.0673026	0.0691005	0.0685862	0.0687404	0.0662643	0.0606575	0.0536021	0.0500569	0.0467508	0.0435515	0.0387341	0.0333914	0.0283778	0.0228119	0.0200952	0.01559	0.0143825	0.0132239	0.0168546	0.0181865	0.0207492	0.0247121	0.0310677	0.0391232	0.0469833	
0.064878	0.067947	0.06879	0.0698762	0.0676204	0.0616374	0.0548928	0.0510967	0.0461912	0.0407734	0.0346635	0.0279886	0.0217379	0.0164872	0.0132221	0.00929686	0.00646118	0.00542333	0.00811534	0.00928729	0.0113161	0.014789	0.0225181	0.030124	0.039085	
0.0597434	0.0635535	0.0651288	0.0665893	0.0655156	0.0602238	0.054905	0.0506307	0.0443473	0.0375948	0.0305302	0.0231814	0.0155833	0.00998274	0.00634704	0.00224167	-0.00080574	-0.00264965	-3.51416e-05	0.000318429	0.00172769	0.00551538	0.012609	0.0204352	0.0284171	
0.0522532	0.0568413	0.0597617	0.062099	0.0635947	0.0592213	0.056184	0.0513876	0.0458786	0.0378051	0.0313072	0.0229179	0.0148389	0.00797358	0.00391886	-0.000928871	-0.00476346	-0.00723267	-0.00541162	-0.00561594	-0.00547853	-0.00202938	0.00340543	0.0108638	0.0179755	
0.0431336	0.0481318	0.0516921	0.0569942	0.0584987	0.0569601	0.0528144	0.051266	0.0449633	0.0387996	0.0313372	0.024156	0.0149783	0.00806188	0.00322311	-0.00226368	-0.00715126	-0.0102235	-0.00893053	-0.0106741	-0.0113568	-0.0101836	-0.00530433	0.000439105	0.0078258	
0.033659	0.0382185	0.0425477	0.0482446	0.0509442	0.0482949	0.0454322	0.0436431	0.0400634	0.0337188	0.0284183	0.0209624	0.0129321	0.00562076	0.0010004	-0.00494319	-0.0104068	-0.0136152	-0.0137444	-0.0162758	-0.0189275	-0.0190339	-0.0153416	-0.0105469	-0.00384306	
